,Material type,Elements,Ionic radius,Core size (nm),Hydro size (nm),Surface charge (mV),Surface area (m2/g),Cell type,Exposure dose (ug/mL),Topological polar surface area (Å²),a (Å),b (Å),c (Å),α (°),β (°),γ (°),Density (g/cm3),Viability (%),cell_line,cell_species,cell_origin,time,toxicity,average electronegativity,Molecular weight (g/mol),Number of atoms
154,Fe2O3,Fe,55.0,12.3,196.6,-2.1,,1,50.0,43.4,8.276,8.276,8.276,109,109,109,4.86,83.0,,,,,,2.7960000000000003,159.6882,5.0
155,Gd2O3,Gd,93.5,43.8,222.0,6.5,40.0,1,0.8,43.4,10.796,10.796,10.796,90,90.0,90,7.51,83.0,,,,,,2.544,362.4982,5.0
156,Gd2O3,Gd,93.5,43.8,222.0,6.5,40.0,1,3.2,43.4,10.796,10.796,10.796,90,90.0,90,7.51,83.0,,,,,,2.544,362.4982,5.0
157,HfO2,Hf,71.0,28.4,307.7,33.5,21.8,0,6.3,34.1,5.12,5.18,5.25,90,90.0,90,9.97,83.0,,,,,,2.7266666666666666,210.4888,3.0
158,HfO2,Hf,71.0,28.4,280.6,33.5,21.8,1,0.8,34.1,5.12,5.18,5.25,90,90.0,90,9.97,83.0,,,,,,2.7266666666666666,210.4888,3.0
159,HfO2,Hf,71.0,28.4,280.6,33.5,21.8,1,100.0,34.1,5.12,5.18,5.25,90,90.0,90,9.97,83.0,,,,,,2.7266666666666666,210.4888,3.0
160,NiO,Ni,69.0,13.1,202.8,27.6,68.7,0,25.0,17.1,4.171,4.171,4.171,90,90.0,90,6.62,83.0,,,,,,2.675,74.69279999999999,2.0
161,Sb2O3,Sb,76.0,11.8,195.5,-35.3,93.6,1,0.4,43.4,4.92,12.46,5.42,90,90.0,90,5.36,83.0,,,,,,2.884,291.5182,5.0
162,Sb2O3,Sb,76.0,11.8,195.5,-35.3,93.6,1,200.0,43.4,4.92,12.46,5.42,90,90.0,90,5.36,83.0,,,,,,2.884,291.5182,5.0
163,CuO,Cu,73.0,12.8,305.3,7.6,74.2,0,12.5,17.1,2.993,2.993,2.993,60,60,60,6.97,83.1,,,,,,2.67,79.5454,2.0
164,CoO,Co,65.0,71.8,208.3,21.6,13.0,0,3.2,17.1,4.24,4.24,4.24,90,90.0,90,6.31,83.5,,,,,,2.66,74.93259499999999,2.0
165,Al2O3,Al,53.5,14.7,230.5,0.0,101.4,1,3.2,43.4,5.178,5.178,5.178,55,55,55,3.87,84.0,,,,,,2.708,101.9612772,5.0
166,Al2O3,Al,53.5,14.7,230.5,0.0,101.4,1,100.0,43.4,5.178,5.178,5.178,55,55,55,3.87,84.0,,,,,,2.708,101.9612772,5.0
167,Fe2O3,Fe,55.0,12.3,206.3,-2.1,93.1,0,100.0,43.4,8.276,8.276,8.276,109,109,109,4.86,84.0,,,,,,2.7960000000000003,159.6882,5.0
168,Fe2O3,Fe,55.0,12.3,206.3,-2.1,93.1,0,200.0,43.4,8.276,8.276,8.276,109,109,109,4.86,-84.0,,,,,,2.7960000000000003,159.6882,5.0
169,Fe2O3,Fe,55.0,12.3,196.6,-2.1,93.1,1,0.4,43.4,8.276,8.276,8.276,109,109,109,4.86,84.0,,,,,,2.7960000000000003,159.6882,5.0
170,Fe2O3,Fe,55.0,12.3,196.6,-2.1,93.1,1,1.6,43.4,8.276,8.276,8.276,109,109,109,4.86,84.0,,,,,,2.7960000000000003,159.6882,5.0
171,HfO2,Hf,71.0,28.4,280.6,33.5,21.8,1,12.5,34.1,5.12,5.18,5.25,90,90.0,90,9.97,84.0,,,,,,2.7266666666666666,210.4888,3.0
172,HfO2,Hf,71.0,28.4,280.6,33.5,21.8,1,50.0,34.1,5.12,5.18,5.25,90,90.0,90,9.97,84.0,,,,,,2.7266666666666666,210.4888,3.0
173,In2O3,In,80.0,59.6,259.8,61.9,14.0,0,50.0,43.4,10.118,10.118,10.118,90,90.0,90,6.75,84.0,,,,,,2.7760000000000002,277.63419999999996,5.0
174,In2O3,In,80.0,59.6,244.5,61.9,14.0,1,6.3,43.4,10.118,10.118,10.118,90,90.0,90,6.75,84.0,,,,,,2.7760000000000002,277.63419999999996,5.0
175,La2O3,La,103.2,24.6,155.1,54.3,30.0,0,3.2,43.4,3.945,3.945,6.151,90,90.0,120,6.52,84.0,,,,,,2.504,325.80914,5.0
176,La2O3,La,103.2,24.6,155.1,54.3,30.0,0,1.6,43.4,3.945,3.945,6.151,90,90.0,120,6.52,84.0,,,,,,2.504,325.80914,5.0
177,La2O3,La,103.2,24.6,162.6,54.3,30.0,1,200.0,43.4,3.945,3.945,6.151,90,90.0,120,6.52,84.0,,,,,,2.504,325.80914,5.0
178,NiO,Ni,69.0,13.1,189.5,27.6,68.7,1,6.3,17.1,4.171,4.171,4.171,90,90.0,90,6.62,84.0,,,,,,2.675,74.69279999999999,2.0
179,Sb2O3,Sb,76.0,11.8,274.9,-35.3,93.6,0,3.2,43.4,4.92,12.46,5.42,90,90.0,90,5.36,84.0,,,,,,2.884,291.5182,5.0
180,SiO2,Si,40.0,13.5,181.9,-31.8,640.0,0,6.3,34.1,5.028,5.028,5.519,90,90,120,2.48,84.0,,,,,,2.9266666666666663,60.0843,3.0
181,SiO2,Si,40.0,13.5,181.9,-31.8,640.0,0,25.0,34.1,5.028,5.028,5.519,90,90,120,2.48,84.0,,,,,,2.9266666666666663,60.0843,3.0
182,SiO2,Si,40.0,13.5,46.4,-31.8,640.0,1,1.6,34.1,5.028,5.028,5.519,90,90,120,2.48,84.0,,,,,,2.9266666666666663,60.0843,3.0
183,SiO2,Si,40.0,13.5,46.4,-31.8,640.0,1,50.0,34.1,5.028,5.028,5.519,90,90,120,2.48,84.0,,,,,,2.9266666666666663,60.0843,3.0
184,SiO2,Si,40.0,13.5,46.4,-31.8,640.0,1,50.0,34.1,5.028,5.028,5.519,90,90,120,2.48,84.0,,,,,,2.9266666666666663,60.0843,3.0
185,SiO2,Si,40.0,13.5,46.4,-31.8,640.0,1,100.0,34.1,5.028,5.028,5.519,90,90,120,2.48,84.0,,,,,,2.9266666666666663,60.0843,3.0
186,Al2O3,Al,53.5,14.7,260.4,0.0,101.4,0,12.5,43.4,5.178,5.178,5.178,55,55,55,3.87,85.0,,,,,,2.708,101.9612772,5.0
187,Al2O3,Al,53.5,14.7,260.4,0.0,101.4,0,100.0,43.4,5.178,5.178,5.178,55,55,55,3.87,85.0,,,,,,2.708,101.9612772,5.0
188,Al2O3,Al,53.5,14.7,230.5,0.0,101.4,1,6.3,43.4,5.178,5.178,5.178,55,55,55,3.87,85.0,,,,,,2.708,101.9612772,5.0
189,Al2O3,Al,53.5,14.7,230.5,0.0,101.4,1,50.0,43.4,5.178,5.178,5.178,55,55,55,3.87,85.0,,,,,,2.708,101.9612772,5.0
190,Al2O3,Al,53.5,14.7,230.5,0.0,101.4,1,200.0,43.4,5.178,5.178,5.178,55,55,55,3.87,85.0,,,,,,2.708,101.9612772,5.0
191,CeO2,Ce,87.0,18.3,261.6,21.4,44.0,0,0.4,34.1,5.41,5.41,5.41,90,90.0,90,6.99,85.0,,,,,,2.6666666666666665,172.1148,3.0
192,CeO2,Ce,87.0,18.3,248.4,21.4,44.0,1,50.0,34.1,5.41,5.41,5.41,90,90.0,90,6.99,85.0,,,,,,2.6666666666666665,172.1148,3.0
193,CeO2,Ce,87.0,18.3,248.4,21.4,44.0,1,0.4,34.1,5.41,5.41,5.41,90,90.0,90,6.99,85.0,,,,,,2.6666666666666665,172.1148,3.0
194,Fe2O3,Fe,55.0,12.3,206.3,-2.1,93.1,0,100.0,43.4,8.276,8.276,8.276,109,109,109,4.86,85.0,,,,,,2.7960000000000003,159.6882,5.0
195,Gd2O3,Gd,93.5,43.8,227.4,6.5,40.0,0,50.0,43.4,10.796,10.796,10.796,90,90.0,90,7.51,85.0,,,,,,2.544,362.4982,5.0
196,HfO2,Hf,71.0,28.4,307.7,33.5,21.8,0,1.6,34.1,5.12,5.18,5.25,90,90.0,90,9.97,85.0,,,,,,2.7266666666666666,210.4888,3.0
197,In2O3,In,80.0,59.6,259.8,61.9,14.0,0,0.4,43.4,10.118,10.118,10.118,90,90.0,90,6.75,85.0,,,,,,2.7760000000000002,277.63419999999996,5.0
198,In2O3,In,80.0,59.6,259.8,61.9,14.0,0,6.3,43.4,10.118,10.118,10.118,90,90.0,90,6.75,85.0,,,,,,2.7760000000000002,277.63419999999996,5.0
199,La2O3,La,103.2,24.6,162.6,54.3,30.0,1,100.0,43.4,3.945,3.945,6.151,90,90.0,120,6.52,85.0,,,,,,2.504,325.80914,5.0
200,La2O3,La,103.2,24.6,162.6,54.3,30.0,1,3.2,43.4,3.945,3.945,6.151,90,90.0,120,6.52,85.0,,,,,,2.504,325.80914,5.0
201,NiO,Ni,69.0,13.1,202.8,27.6,68.7,0,1.6,17.1,4.171,4.171,4.171,90,90.0,90,6.62,85.0,,,,,,2.675,74.69279999999999,2.0
202,NiO,Ni,69.0,13.1,202.8,27.6,68.7,0,25.0,17.1,4.171,4.171,4.171,90,90.0,90,6.62,85.0,,,,,,2.675,74.69279999999999,2.0
203,NiO,Ni,69.0,13.1,,27.6,68.7,1,25.0,17.1,4.171,4.171,4.171,90,90.0,90,6.62,85.0,,,,,,2.675,74.69279999999999,2.0
204,Sb2O3,Sb,76.0,11.8,195.5,-35.3,93.6,1,6.3,43.4,4.92,12.46,5.42,90,90.0,90,5.36,85.0,,,,,,2.884,291.5182,5.0
205,CoO,Co,65.0,71.8,208.3,21.6,13.0,0,25.0,17.1,4.24,4.24,4.24,90,90.0,90,6.31,85.7,,,,,,2.66,74.93259499999999,2.0
206,CuO,Cu,73.0,12.8,313.8,7.6,74.2,1,3.2,17.1,2.993,2.993,2.993,60,60,60,6.97,85.9,,,,,,2.67,79.5454,2.0
207,Mn2O3,Mn,58.0,51.5,291.7,-46.1,25.9,1,12.5,43.4,5.752,5.752,9.426,90,90.0,90,4.59,85.9,,,,,,2.684,157.87429,5.0
208,Al2O3,Al,53.5,14.7,260.4,0.0,101.4,0,50.0,43.4,5.178,5.178,5.178,55,55,55,3.87,86.0,,,,,,2.708,101.9612772,5.0
209,Al2O3,Al,53.5,14.7,260.4,0.0,101.4,0,3.2,43.4,5.178,5.178,5.178,55,55,55,3.87,86.0,,,,,,2.708,101.9612772,5.0
210,Al2O3,Al,53.5,14.7,260.4,0.0,101.4,0,12.5,43.4,5.178,5.178,5.178,55,55,55,3.87,86.0,,,,,,2.708,101.9612772,5.0
211,Al2O3,Al,53.5,14.7,230.5,0.0,101.4,1,100.0,43.4,5.178,5.178,5.178,55,55,55,3.87,86.0,,,,,,2.708,101.9612772,5.0
212,CeO2,Ce,87.0,18.3,261.6,21.4,44.0,0,50.0,34.1,5.41,5.41,5.41,90,90.0,90,6.99,86.0,,,,,,2.6666666666666665,172.1148,3.0
213,CeO2,Ce,87.0,18.3,261.6,21.4,44.0,0,200.0,34.1,5.41,5.41,5.41,90,90.0,90,6.99,86.0,,,,,,2.6666666666666665,172.1148,3.0
214,CeO2,Ce,87.0,18.3,261.6,21.4,44.0,0,12.5,34.1,5.41,5.41,5.41,90,90.0,90,6.99,86.0,,,,,,2.6666666666666665,172.1148,3.0
215,CeO2,Ce,87.0,18.3,248.4,21.4,44.0,1,100.0,34.1,5.41,5.41,5.41,90,90.0,90,6.99,86.0,,,,,,2.6666666666666665,172.1148,3.0
216,Gd2O3,Gd,93.5,43.8,227.4,6.5,40.0,0,25.0,43.4,10.796,10.796,10.796,90,90.0,90,7.51,86.0,,,,,,2.544,362.4982,5.0
217,Gd2O3,Gd,93.5,43.8,227.4,6.5,40.0,0,100.0,43.4,10.796,10.796,10.796,90,90.0,90,7.51,86.0,,,,,,2.544,362.4982,5.0
218,Gd2O3,Gd,93.5,43.8,222.0,6.5,40.0,1,0.4,43.4,10.796,10.796,10.796,90,90.0,90,7.51,86.0,,,,,,2.544,362.4982,5.0
219,HfO2,Hf,71.0,28.4,307.7,33.5,21.8,0,200.0,34.1,5.12,5.18,5.25,90,90.0,90,9.97,86.0,,,,,,2.7266666666666666,210.4888,3.0
220,HfO2,Hf,71.0,28.4,280.6,33.5,21.8,1,6.3,34.1,5.12,5.18,5.25,90,90.0,90,9.97,86.0,,,,,,2.7266666666666666,210.4888,3.0
221,In2O3,In,80.0,59.6,244.5,61.9,14.0,1,0.8,43.4,10.118,10.118,10.118,90,90.0,90,6.75,86.0,,,,,,2.7760000000000002,277.63419999999996,5.0
222,La2O3,La,103.2,24.6,162.6,54.3,30.0,1,3.2,43.4,3.945,3.945,6.151,90,90.0,120,6.52,86.0,,,,,,2.504,325.80914,5.0
223,La2O3,La,103.2,24.6,162.6,54.3,30.0,1,25.0,43.4,3.945,3.945,6.151,90,90.0,120,6.52,86.0,,,,,,2.504,325.80914,5.0
224,La2O3,La,103.2,24.6,162.6,54.3,30.0,1,6.3,43.4,3.945,3.945,6.151,90,90.0,120,6.52,86.0,,,,,,2.504,325.80914,5.0
225,NiO,Ni,69.0,13.1,189.5,27.6,68.7,1,3.2,17.1,4.171,4.171,4.171,90,90.0,90,6.62,86.0,,,,,,2.675,74.69279999999999,2.0
226,NiO,Ni,69.0,13.1,189.5,27.6,68.7,1,0.8,17.1,4.171,4.171,4.171,90,90.0,90,6.62,86.0,,,,,,2.675,74.69279999999999,2.0
227,Sb2O3,Sb,76.0,11.8,274.9,-35.3,93.6,0,6.3,43.4,4.92,12.46,5.42,90,90.0,90,5.36,86.0,,,,,,2.884,291.5182,5.0
228,Sb2O3,Sb,76.0,11.8,274.9,-35.3,93.6,0,1.6,43.4,4.92,12.46,5.42,90,90.0,90,5.36,86.0,,,,,,2.884,291.5182,5.0
229,Sb2O3,Sb,76.0,11.8,274.9,-35.3,93.6,0,50.0,43.4,4.92,12.46,5.42,90,90.0,90,5.36,86.0,,,,,,2.884,291.5182,5.0
230,Sb2O3,Sb,76.0,11.8,195.5,-35.3,93.6,1,1.6,43.4,4.92,12.46,5.42,90,90.0,90,5.36,86.0,,,,,,2.884,291.5182,5.0
231,SiO2,Si,40.0,13.5,181.9,-31.8,640.0,0,200.0,34.1,5.028,5.028,5.519,90,90,120,2.48,86.0,,,,,,2.9266666666666663,60.0843,3.0
232,SiO2,Si,40.0,13.5,46.4,-31.8,640.0,1,12.5,34.1,5.028,5.028,5.519,90,90,120,2.48,86.0,,,,,,2.9266666666666663,60.0843,3.0
233,CeO2,Ce,87.0,18.3,261.6,21.4,44.0,0,100.0,34.1,5.41,5.41,5.41,90,90.0,90,6.99,87.0,,,,,,2.6666666666666665,172.1148,3.0
234,CeO2,Ce,87.0,18.3,248.4,21.4,44.0,1,1.6,34.1,5.41,5.41,5.41,90,90.0,90,6.99,87.0,,,,,,2.6666666666666665,172.1148,3.0
235,Fe2O3,Fe,55.0,12.3,196.6,-2.1,93.1,1,200.0,43.4,8.276,8.276,8.276,109,109,109,4.86,87.0,,,,,,2.7960000000000003,159.6882,5.0
236,Fe2O3,Fe,55.0,12.3,196.6,-2.1,93.1,1,12.5,43.4,8.276,8.276,8.276,109,109,109,4.86,87.0,,,,,,2.7960000000000003,159.6882,5.0
237,Fe2O3,Fe,55.0,12.3,196.6,-2.1,93.1,1,100.0,43.4,8.276,8.276,8.276,109,109,109,4.86,87.0,,,,,,2.7960000000000003,159.6882,5.0
238,Gd2O3,Gd,93.5,43.8,227.4,6.5,40.0,0,100.0,43.4,10.796,10.796,10.796,90,90.0,90,7.51,87.0,,,,,,2.544,362.4982,5.0
239,Gd2O3,Gd,93.5,43.8,227.4,6.5,40.0,0,6.3,43.4,10.796,10.796,10.796,90,90.0,90,7.51,87.0,,,,,,2.544,362.4982,5.0
240,HfO2,Hf,71.0,28.4,307.7,33.5,21.8,0,3.2,34.1,5.12,5.18,5.25,90,90.0,90,9.97,87.0,,,,,,2.7266666666666666,210.4888,3.0
241,HfO2,Hf,71.0,28.4,307.7,33.5,21.8,0,12.5,34.1,5.12,5.18,5.25,90,90.0,90,9.97,87.0,,,,,,2.7266666666666666,210.4888,3.0
242,HfO2,Hf,71.0,28.4,307.7,33.5,21.8,0,25.0,34.1,5.12,5.18,5.25,90,90.0,90,9.97,87.0,,,,,,2.7266666666666666,210.4888,3.0
243,In2O3,In,80.0,59.6,244.5,61.9,14.0,1,12.5,43.4,10.118,10.118,10.118,90,90.0,90,6.75,87.0,,,,,,2.7760000000000002,277.63419999999996,5.0
244,NiO,Ni,69.0,13.1,202.8,27.6,68.7,0,3.2,17.1,4.171,4.171,4.171,90,90.0,90,6.62,87.0,,,,,,2.675,74.69279999999999,2.0
245,NiO,Ni,69.0,13.1,189.5,27.6,68.7,1,3.2,17.1,4.171,4.171,4.171,90,90.0,90,6.62,87.0,,,,,,2.675,74.69279999999999,2.0
246,NiO,Ni,69.0,13.1,189.5,27.6,68.7,1,50.0,17.1,4.171,4.171,4.171,90,90.0,90,6.62,87.0,,,,,,2.675,74.69279999999999,2.0
247,Sb2O3,Sb,76.0,11.8,274.9,-35.3,93.6,0,100.0,43.4,4.92,12.46,5.42,90,90.0,90,5.36,87.0,,,,,,2.884,291.5182,5.0
248,Sb2O3,Sb,76.0,11.8,195.5,-35.3,93.6,1,0.8,43.4,4.92,12.46,5.42,90,90.0,90,5.36,87.0,,,,,,2.884,291.5182,5.0
249,Sb2O3,Sb,76.0,11.8,195.5,-35.3,93.6,1,100.0,43.4,4.92,12.46,5.42,90,90.0,90,5.36,87.0,,,,,,2.884,291.5182,5.0
250,SiO2,Si,40.0,13.5,181.9,-31.8,640.0,0,0.4,34.1,5.028,5.028,5.519,90,90,120,2.48,87.0,,,,,,2.9266666666666663,60.0843,3.0
251,CoO,Co,65.0,71.8,191.6,21.6,13.0,1,12.5,17.1,4.24,4.24,4.24,90,90.0,90,6.31,87.3,,,,,,2.66,74.93259499999999,2.0
252,CuO,Cu,73.0,12.8,305.3,7.6,74.2,0,6.3,17.1,2.993,2.993,2.993,60,60,60,6.97,87.6,,,,,,2.67,79.5454,2.0
253,CuO,Cu,73.0,12.8,313.8,7.6,74.2,1,6.3,17.1,2.993,2.993,2.993,60,60,60,6.97,87.9,,,,,,2.67,79.5454,2.0
254,Al2O3,Al,53.5,14.7,260.4,0.0,101.4,0,0.4,43.4,5.178,5.178,5.178,55,55,55,3.87,88.0,,,,,,2.708,101.9612772,5.0
255,CeO2,Ce,87.0,18.3,261.6,21.4,44.0,0,3.2,34.1,5.41,5.41,5.41,90,90.0,90,6.99,88.0,,,,,,2.6666666666666665,172.1148,3.0
256,CeO2,Ce,87.0,18.3,248.4,21.4,44.0,1,100.0,34.1,5.41,5.41,5.41,90,90.0,90,6.99,88.0,,,,,,2.6666666666666665,172.1148,3.0
257,Fe2O3,Fe,55.0,12.3,196.6,-2.1,93.1,1,3.2,43.4,8.276,8.276,8.276,109,109,109,4.86,88.0,,,,,,2.7960000000000003,159.6882,5.0
258,Fe2O3,Fe,55.0,12.3,196.6,-2.1,93.1,1,6.3,43.4,8.276,8.276,8.276,109,109,109,4.86,88.0,,,,,,2.7960000000000003,159.6882,5.0
259,Gd2O3,Gd,93.5,43.8,227.4,6.5,40.0,0,1.6,43.4,10.796,10.796,10.796,90,90.0,90,7.51,88.0,,,,,,2.544,362.4982,5.0
260,In2O3,In,80.0,59.6,259.8,61.9,14.0,0,0.4,43.4,10.118,10.118,10.118,90,90.0,90,6.75,88.0,,,,,,2.7760000000000002,277.63419999999996,5.0
261,In2O3,In,80.0,59.6,244.5,61.9,14.0,1,50.0,43.4,10.118,10.118,10.118,90,90.0,90,6.75,88.0,,,,,,2.7760000000000002,277.63419999999996,5.0
262,In2O3,In,80.0,59.6,244.5,61.9,14.0,1,0.4,43.4,10.118,10.118,10.118,90,90.0,90,6.75,88.0,,,,,,2.7760000000000002,277.63419999999996,5.0
263,In2O3,In,80.0,59.6,244.5,61.9,14.0,1,25.0,43.4,10.118,10.118,10.118,90,90.0,90,6.75,88.0,,,,,,2.7760000000000002,277.63419999999996,5.0
264,La2O3,La,103.2,24.6,155.1,54.3,30.0,0,12.5,43.4,3.945,3.945,6.151,90,90.0,120,6.52,88.0,,,,,,2.504,325.80914,5.0
265,La2O3,La,103.2,24.6,155.1,54.3,30.0,0,25.0,43.4,3.945,3.945,6.151,90,90.0,120,6.52,88.0,,,,,,2.504,325.80914,5.0
266,La2O3,La,103.2,24.6,155.1,54.3,30.0,0,200.0,43.4,3.945,3.945,6.151,90,90.0,120,6.52,88.0,,,,,,2.504,325.80914,5.0
267,La2O3,La,103.2,24.6,162.6,54.3,30.0,1,0.8,43.4,3.945,3.945,6.151,90,90.0,120,6.52,88.0,,,,,,2.504,325.80914,5.0
268,NiO,Ni,69.0,13.1,202.8,27.6,68.7,0,50.0,17.1,4.171,4.171,4.171,90,90.0,90,6.62,88.0,,,,,,2.675,74.69279999999999,2.0
269,NiO,Ni,69.0,13.1,202.8,27.6,68.7,0,0.4,17.1,4.171,4.171,4.171,90,90.0,90,6.62,88.0,,,,,,2.675,74.69279999999999,2.0
270,Sb2O3,Sb,76.0,11.8,195.5,-35.3,93.6,1,50.0,43.4,4.92,12.46,5.42,90,90.0,90,5.36,88.0,,,,,,2.884,291.5182,5.0
271,SiO2,Si,40.0,13.5,181.9,-31.8,640.0,0,12.5,34.1,5.028,5.028,5.519,90,90,120,2.48,88.0,,,,,,2.9266666666666663,60.0843,3.0
272,SiO2,Si,40.0,13.5,181.9,-31.8,640.0,0,200.0,34.1,5.028,5.028,5.519,90,90,120,2.48,88.0,,,,,,2.9266666666666663,60.0843,3.0
273,ZnO,Zn,74.0,22.6,69.4,28.8,47.4,1,6.3,17.1,3.289,3.289,5.307,90,90,120,5.44,88.3,,,,,,2.545,81.4084,2.0
274,CoO,Co,65.0,71.8,191.6,21.6,13.0,1,12.5,17.1,4.24,4.24,4.24,90,90.0,90,6.31,88.6,,,,,,2.66,74.93259499999999,2.0
275,ZnO,Zn,74.0,22.6,114.7,28.8,47.4,0,6.3,17.1,3.289,3.289,5.307,90,90,120,5.44,88.7,,,,,,2.545,81.4084,2.0
276,Al2O3,Al,53.5,14.7,260.4,0.0,101.4,0,0.8,43.4,5.178,5.178,5.178,55,55,55,3.87,89.0,,,,,,2.708,101.9612772,5.0
277,Al2O3,Al,53.5,14.7,230.5,0.0,101.4,1,12.5,43.4,5.178,5.178,5.178,55,55,55,3.87,89.0,,,,,,2.708,101.9612772,5.0
278,Al2O3,Al,53.5,14.7,230.5,0.0,101.4,1,25.0,43.4,5.178,5.178,5.178,55,55,55,3.87,89.0,,,,,,2.708,101.9612772,5.0
279,Al2O3,Al,53.5,14.7,230.5,0.0,101.4,1,50.0,43.4,5.178,5.178,5.178,55,55,55,3.87,89.0,,,,,,2.708,101.9612772,5.0
280,CeO2,Ce,87.0,18.3,261.6,21.4,44.0,0,0.8,34.1,5.41,5.41,5.41,90,90.0,90,6.99,89.0,,,,,,2.6666666666666665,172.1148,3.0
281,CeO2,Ce,87.0,18.3,261.6,21.4,44.0,0,0.8,34.1,5.41,5.41,5.41,90,90.0,90,6.99,89.0,,,,,,2.6666666666666665,172.1148,3.0
282,CeO2,Ce,87.0,18.3,261.6,21.4,44.0,0,25.0,34.1,5.41,5.41,5.41,90,90.0,90,6.99,89.0,,,,,,2.6666666666666665,172.1148,3.0
283,Fe2O3,Fe,55.0,12.3,206.3,-2.1,93.1,0,0.8,43.4,8.276,8.276,8.276,109,109,109,4.86,89.0,,,,,,2.7960000000000003,159.6882,5.0
284,Fe2O3,Fe,55.0,12.3,196.6,-2.1,93.1,1,100.0,43.4,8.276,8.276,8.276,109,109,109,4.86,89.0,,,,,,2.7960000000000003,159.6882,5.0
285,Fe2O3,Fe,55.0,12.3,196.6,-2.1,93.1,1,200.0,43.4,8.276,8.276,8.276,109,109,109,4.86,89.0,,,,,,2.7960000000000003,159.6882,5.0
286,Gd2O3,Gd,93.5,43.8,227.4,6.5,40.0,0,0.4,43.4,10.796,10.796,10.796,90,90.0,90,7.51,89.0,,,,,,2.544,362.4982,5.0
287,Gd2O3,Gd,93.5,43.8,227.4,6.5,40.0,0,3.2,43.4,10.796,10.796,10.796,90,90.0,90,7.51,89.0,,,,,,2.544,362.4982,5.0
288,Gd2O3,Gd,93.5,43.8,227.4,6.5,40.0,0,6.3,43.4,10.796,10.796,10.796,90,90.0,90,7.51,89.0,,,,,,2.544,362.4982,5.0
289,In2O3,In,80.0,59.6,244.5,61.9,14.0,1,25.0,43.4,10.118,10.118,10.118,90,90.0,90,6.75,89.0,,,,,,2.7760000000000002,277.63419999999996,5.0
290,La2O3,La,103.2,24.6,155.1,54.3,30.0,0,25.0,43.4,3.945,3.945,6.151,90,90.0,120,6.52,89.0,,,,,,2.504,325.80914,5.0
291,La2O3,La,103.2,24.6,162.6,54.3,30.0,1,200.0,43.4,3.945,3.945,6.151,90,90.0,120,6.52,89.0,,,,,,2.504,325.80914,5.0
292,SiO2,Si,40.0,13.5,46.4,-31.8,640.0,1,0.4,34.1,5.028,5.028,5.519,90,90,120,2.48,89.0,,,,,,2.9266666666666663,60.0843,3.0
293,CoO,Co,65.0,71.8,208.3,21.6,13.0,0,12.5,17.1,4.24,4.24,4.24,90,90.0,90,6.31,89.4,,,,,,2.66,74.93259499999999,2.0
294,Mn2O3,Mn,58.0,51.5,291.7,-46.1,25.9,1,6.3,43.4,5.752,5.752,9.426,90,90.0,90,4.59,89.8,,,,,,2.684,157.87429,5.0
295,CeO2,Ce,87.0,18.3,261.6,21.4,44.0,0,0.4,34.1,5.41,5.41,5.41,90,90.0,90,6.99,90.0,,,,,,2.6666666666666665,172.1148,3.0
296,CeO2,Ce,87.0,18.3,261.6,21.4,44.0,0,200.0,34.1,5.41,5.41,5.41,90,90.0,90,6.99,90.0,,,,,,2.6666666666666665,172.1148,3.0
297,CeO2,Ce,87.0,18.3,248.4,21.4,44.0,1,200.0,34.1,5.41,5.41,5.41,90,90.0,90,6.99,90.0,,,,,,2.6666666666666665,172.1148,3.0
298,Gd2O3,Gd,93.5,43.8,227.4,6.5,40.0,0,12.5,43.4,10.796,10.796,10.796,90,90.0,90,7.51,90.0,,,,,,2.544,362.4982,5.0
299,Gd2O3,Gd,93.5,43.8,222.0,6.5,40.0,1,0.4,43.4,10.796,10.796,10.796,90,90.0,90,7.51,90.0,,,,,,2.544,362.4982,5.0
300,HfO2,Hf,71.0,28.4,307.7,33.5,21.8,0,100.0,34.1,5.12,5.18,5.25,90,90.0,90,9.97,90.0,,,,,,2.7266666666666666,210.4888,3.0
301,HfO2,Hf,71.0,28.4,280.6,33.5,21.8,1,3.2,34.1,5.12,5.18,5.25,90,90.0,90,9.97,90.0,,,,,,2.7266666666666666,210.4888,3.0
302,HfO2,Hf,71.0,28.4,280.6,33.5,21.8,1,1.6,34.1,5.12,5.18,5.25,90,90.0,90,9.97,90.0,,,,,,2.7266666666666666,210.4888,3.0
303,HfO2,Hf,71.0,28.4,280.6,33.5,21.8,1,25.0,34.1,5.12,5.18,5.25,90,90.0,90,9.97,90.0,,,,,,2.7266666666666666,210.4888,3.0
304,In2O3,In,80.0,59.6,259.8,61.9,14.0,0,12.5,43.4,10.118,10.118,10.118,90,90.0,90,6.75,90.0,,,,,,2.7760000000000002,277.63419999999996,5.0
305,La2O3,La,103.2,24.6,155.1,54.3,30.0,0,0.4,43.4,3.945,3.945,6.151,90,90.0,120,6.52,90.0,,,,,,2.504,325.80914,5.0
306,La2O3,La,103.2,24.6,155.1,54.3,30.0,0,50.0,43.4,3.945,3.945,6.151,90,90.0,120,6.52,90.0,,,,,,2.504,325.80914,5.0
307,La2O3,La,103.2,24.6,162.6,54.3,30.0,1,12.5,43.4,3.945,3.945,6.151,90,90.0,120,6.52,90.0,,,,,,2.504,325.80914,5.0
